id,Description,RFQ_Description,Color,Basis_WT,M_Weight,Basic_Area,Caliper,Size_Width,Size_Length,Supplier_ID,Supplier_Name,Suplier_Item,Costing_Method,Primary_Valuation,_GL_Expense_Code,UserDefined_1,UserDefined_2,UserDefined_3,Unit_Cost,PO_Unit_Cost
1110311,ChorusArt Cover Silk,ChorusArt Cover Silk,White,80,146,6,0.0085,19,25,10259,Spicers US,1110311,2,1,4510.02,,8000,Updated_Prices_6_21_RF,106.348736,103.2512
1110312,ChorusArt Cover Silk,ChorusArt Cover Silk,White,80,160,6,0.0085,20,26,10259,Spicers US,1110312,2,1,4510.02,,8000,Updated_Prices_6_21_RF,116.54656,113.152
1110313,ChorusArt Cover Silk,ChorusArt Cover Silk,White,80,320,6,0.0085,26,40,10259,Spicers US,1110313,2,1,4510.02,,4000,Updated_Prices_6_21_RF,233.09312,226.304
1110314,ChorusArt Cover Silk,ChorusArt Cover Silk,White,80,345,6,0.0085,28,40,10259,Spicers US,1110314,2,1,4510.02,,4000,Updated_Prices_6_21_RF,251.30352,243.984
1110315,ChorusArt Cover Silk,ChorusArt Cover Silk,White,100,183,6,0.0106,19,25,10259,Spicers US,1110315,2,1,4510.02,,7000,Updated_Prices_6_21_RF,133.300128,129.4176
1110316,ChorusArt Cover Silk,ChorusArt Cover Silk,White,100,200,6,0.0106,20,26,10259,Spicers US,1110316,2,1,4510.02,,7000,Updated_Prices_6_21_RF,145.6832,141.44
1110317,ChorusArt Cover Silk,ChorusArt Cover Silk,White,100,400,6,0.0106,26,40,10259,Spicers US,1110317,2,1,4510.02,,3500,Updated_Prices_6_21_RF,291.3664,282.88
1110318,ChorusArt Cover Silk,ChorusArt Cover Silk,White,100,431,6,0.0106,28,40,10259,Spicers US,1110318,2,1,4510.02,,3500,Updated_Prices_6_21_RF,313.947296,304.8032
1110319,ChorusArt Cover Silk,ChorusArt Cover Silk,White,130,260,6,0.0138,20,26,10259,Spicers US,1110319,2,1,4510.02,,5000,Updated_Prices_6_21_RF,189.38816,183.872
1110320,ChorusArt Cover Silk,ChorusArt Cover Silk,White,130,475,6,0.0138,25,38,10259,Spicers US,1110320,2,1,4510.02,,2500,Updated_Prices_6_21_RF,345.9976,335.92
1110321,ChorusArt Cover Silk,ChorusArt Cover Silk,White,130,560,6,0.0138,28,40,10259,Spicers US,1110321,2,1,4510.02,,2500,Updated_Prices_6_21_RF,407.91296,396.032
1110369,ChorusArt Cover Silk,ChorusArt Cover Silk,White,80,214,6,0.0085,24,29,10259,Spicers US,1110369,2,1,4510.02,,4000,Updated_Prices_6_21_RF,155.881024,151.3408
1110370,ChorusArt Cover Silk,ChorusArt Cover Silk,White,80,253,6,0.0085,23.5,35,10259,Spicers US,1110370,2,1,4510.02,,4000,Updated_Prices_6_21_RF,184.289248,178.9216
1110371,ChorusArt Cover Silk,ChorusArt Cover Silk,White,80,266,6,0.0085,24,36,10259,Spicers US,1110371,2,1,4510.02,,4000,Updated_Prices_6_21_RF,193.758656,188.1152
1110372,ChorusArt Cover Silk,ChorusArt Cover Silk,White,80,298,6,0.0085,25.5,38,10259,Spicers US,1110372,2,1,4510.02,,4000,Updated_Prices_6_21_RF,217.067968,210.7456
1110373,ChorusArt Cover Silk,ChorusArt Cover Silk,White,100,268,6,0.0106,24,29,10259,Spicers US,1110373,2,1,4510.02,,3500,Updated_Prices_6_21_RF,195.215488,189.5296
1110374,ChorusArt Cover Silk,ChorusArt Cover Silk,White,100,315,6,0.0106,23.5,35,10259,Spicers US,1110374,2,1,4510.02,,3500,Updated_Prices_6_21_RF,229.45104,222.768
1110375,ChorusArt Cover Silk,ChorusArt Cover Silk,White,100,332,6,0.0106,24,36,10259,Spicers US,1110375,2,1,4510.02,,3500,Updated_Prices_6_21_RF,241.834112,234.7904
1110376,ChorusArt Cover Silk,ChorusArt Cover Silk,White,100,373,6,0.0106,25.5,38,10259,Spicers US,1110376,2,1,4510.02,,3500,Updated_Prices_6_21_RF,271.699168,263.7856
1110377,ChorusArt Cover Silk,ChorusArt Cover Silk,White,130,411,6,0.0138,23.5,35,10259,Spicers US,1110377,2,1,4510.02,,2500,Updated_Prices_6_21_RF,299.378976,290.6592
1110401,ChorusArt Cover Silk,ChorusArt Cover Silk,White,63,115,6,0.0061,19,25,10259,Spicers US,1110401,2,1,4510.02,,11000,Updated_Prices_6_21_RF,83.76784,81.328
1110402,ChorusArt Cover Silk,ChorusArt Cover Silk,White,63,169,6,0.0061,24,29,10259,Spicers US,1110402,2,1,4510.02,,5500,Updated_Prices_6_21_RF,123.102304,119.5168
1110403,ChorusArt Cover Silk,ChorusArt Cover Silk,White,63,199,6,0.0061,23.5,35,10259,Spicers US,1110403,2,1,4510.02,,5500,Updated_Prices_6_21_RF,144.954784,140.7328
1110404,ChorusArt Cover Silk,ChorusArt Cover Silk,White,63,235,6,0.0061,25.5,38,10259,Spicers US,1110404,2,1,4510.02,,5500,Updated_Prices_6_21_RF,171.17776,166.192
1110405,ChorusArt Cover Silk,ChorusArt Cover Silk,White,63,271,6,0.0061,28,40,10259,Spicers US,1110405,2,1,4510.02,,5500,Updated_Prices_6_21_RF,197.400736,191.6512
1110424,ChorusArt Cover Silk,ChorusArt Cover Silk,White,63,126,6,0.0061,20,26,10259,Spicers US,1110424,2,1,4510.02,,11000,Updated_Prices_6_21_RF,91.780416,89.1072
1110425,ChorusArt Cover Silk,ChorusArt Cover Silk,White,63,252,6,0.0061,26,40,10259,Spicers US,1110425,2,1,4510.02,,5500,Updated_Prices_6_21_RF,183.560832,178.2144
1110459,ChorusArt Cover Silk,ChorusArt Cover Silk,White,63,252,6,0.0061,26,40,10259,Spicers US,1110459,2,1,4510.02,125,,Updated_Prices_6_21_RF,183.560832,178.2144
1110384,ChorusArt Digital Cover Gloss,ChorusArt Digital Cover Gloss,White,80,66.46,6,0.0076,18,12,10259,Spicers US,1110384,2,1,4510.02,300,,Updated_Prices_6_21_RF,65.49659584,63.588928
1110385,ChorusArt Digital Cover Gloss,ChorusArt Digital Cover Gloss,White,80,76,6,0.0076,19,13,10259,Spicers US,1110385,2,1,4510.02,300,,Updated_Prices_6_21_RF,74.898304,72.7168
1110386,ChorusArt Digital Cover Gloss,ChorusArt Digital Cover Gloss,White,100,83.08,6,0.0099,18,12,10259,Spicers US,1110386,2,1,4510.02,250,,Updated_Prices_6_21_RF,81.87567232,79.490944
1110387,ChorusArt Digital Cover Gloss,ChorusArt Digital Cover Gloss,White,100,95,6,0.0099,19,13,10259,Spicers US,1110387,2,1,4510.02,250,,Updated_Prices_6_21_RF,93.62288,90.896
1110392,ChorusArt Digital Cover Silk,ChorusArt Digital Cover Silk,White,80,76,6,0.0085,19,13,10259,Spicers US,1110392,2,1,4510.02,300,,Updated_Prices_6_21_RF,74.898304,72.7168
1110393,ChorusArt Digital Cover Silk,ChorusArt Digital Cover Silk,White,100,83.08,6,0.0106,18,12,10259,Spicers US,1110393,2,1,4510.02,250,,Updated_Prices_6_21_RF,81.87567232,79.490944
1110382,ChorusArt Digital Text Gloss,ChorusArt Digital Text Gloss,White,100,45.47,4,0.0047,12,18,10259,Spicers US,1110382,2,1,4510.02,500,,Updated_Prices_6_21_RF,43.8367176,42.55992
1110383,ChorusArt Digital Text Gloss,ChorusArt Digital Text Gloss,White,100,52,4,0.0047,13,19,10259,Spicers US,1110383,2,1,4510.02,500,,Updated_Prices_6_21_RF,50.13216,48.672
